"","group","country","units","year","amount"
"112","Total vegetable oils ","Mexico","Million dollars","2012","76.3"
"113","Total vegetable oils ","Mexico","Million dollars","2011","62"
"114","Total vegetable oils ","Mexico","Million dollars","2010","46.9"
"115","Total vegetable oils ","Mexico","Million dollars","2009","41.4"
"116","Total vegetable oils ","Mexico","Million dollars","2008","75.5"
"117","Total vegetable oils ","Mexico","Million dollars","2007","61.1"
"118","Total vegetable oils ","Mexico","Million dollars","2006","46.3"
"119","Total vegetable oils ","Mexico","Million dollars","2005","42.7"
"120","Total vegetable oils ","Mexico","Million dollars","2004","29.9"
"121","Total vegetable oils ","Mexico","Million dollars","2003","23.3"
"122","Total vegetable oils ","Mexico","Million dollars","2002","17.2"
"123","Total vegetable oils ","Mexico","Million dollars","2001","19.100000000000001"
"124","Total vegetable oils ","Mexico","Million dollars","2000","15.9"
"125","Total vegetable oils ","Mexico","Million dollars","1999","21.8"
"126","Total vegetable oils ","Philippines","Million dollars","2023","364.9"
"127","Total vegetable oils ","Philippines","Million dollars","2022","604.20000000000005"
"128","Total vegetable oils ","Philippines","Million dollars","2021","530.20000000000005"
"129","Total vegetable oils ","Philippines","Million dollars","2020","344.1"
"130","Total vegetable oils ","Philippines","Million dollars","2019","353.3"
"131","Total vegetable oils ","Philippines","Million dollars","2018","534.5"
"132","Total vegetable oils ","Philippines","Million dollars","2017","555.4"
"133","Total vegetable oils ","Philippines","Million dollars","2016","497.7"
"134","Total vegetable oils ","Philippines","Million dollars","2015","531.9"
"135","Total vegetable oils ","Philippines","Million dollars","2014","548"
"136","Total vegetable oils ","Philippines","Million dollars","2013","455.9"
"137","Total vegetable oils ","Philippines","Million dollars","2012","531.5"
"138","Total vegetable oils ","Philippines","Million dollars","2011","603"
"139","Total vegetable oils ","Philippines","Million dollars","2010","445.8"
"140","Total vegetable oils ","Philippines","Million dollars","2009","265"
"141","Total vegetable oils ","Philippines","Million dollars","2008","469.9"
"142","Total vegetable oils ","Philippines","Million dollars","2007","313.89999999999998"
"143","Total vegetable oils ","Philippines","Million dollars","2006","221"
"144","Total vegetable oils ","Philippines","Million dollars","2005","191.2"
"145","Total vegetable oils ","Philippines","Million dollars","2004","201.8"
"146","Total vegetable oils ","Philippines","Million dollars","2003","135.4"
"147","Total vegetable oils ","Philippines","Million dollars","2002","137.69999999999999"
"148","Total vegetable oils ","Philippines","Million dollars","2001","143.30000000000001"
"149","Total vegetable oils ","Philippines","Million dollars","2000","189.2"
"150","Total vegetable oils ","Philippines","Million dollars","1999","167.5"
"151","Total vegetable oils ","Turkey","Million dollars","2023","308"
"152","Total vegetable oils ","Turkey","Million dollars","2022","132.5"
"153","Total vegetable oils ","Turkey","Million dollars","2021","93"
"154","Total vegetable oils ","Turkey","Million dollars","2020","63.7"
"155","Total vegetable oils ","Turkey","Million dollars","2019","58.6"
"156","Total vegetable oils ","Turkey","Million dollars","2018","110.6"
"157","Total vegetable oils ","Turkey","Million dollars","2017","69.400000000000006"
"158","Total vegetable oils ","Turkey","Million dollars","2016","23.2"
"159","Total vegetable oils ","Turkey","Million dollars","2015","18"
"160","Total vegetable oils ","Turkey","Million dollars","2014","16.5"
"161","Total vegetable oils ","Turkey","Million dollars","2013","98.7"
"162","Total vegetable oils ","Turkey","Million dollars","2012","14.6"
"163","Total vegetable oils ","Turkey","Million dollars","2011","5.7"
"164","Total vegetable oils ","Turkey","Million dollars","2010","21.5"
"165","Total vegetable oils ","Turkey","Million dollars","2009","23.9"
"166","Total vegetable oils ","Turkey","Million dollars","2008","14.6"
"167","Total vegetable oils ","Turkey","Million dollars","2007","42.2"
"168","Total vegetable oils ","Turkey","Million dollars","2006","41.8"
"169","Total vegetable oils ","Turkey","Million dollars","2005","55.7"
"170","Total vegetable oils ","Turkey","Million dollars","2004","27.9"
"171","Total vegetable oils ","Turkey","Million dollars","2003","35.299999999999997"
"172","Total vegetable oils ","Turkey","Million dollars","2002","12.1"
"173","Total vegetable oils ","Turkey","Million dollars","2001","22.2"
"174","Total vegetable oils ","Turkey","Million dollars","2000","13"
"175","Total vegetable oils ","Turkey","Million dollars","1999","27.9"
"176","Total vegetable oils ","Rest of world","Million dollars","2023","1484.8"
"177","Total vegetable oils ","Rest of world","Million dollars","2022","1768.6"
"178","Total vegetable oils ","Rest of world","Million dollars","2021","1479.4"
"179","Total vegetable oils ","Rest of world","Million dollars","2020","1557.7"
"180","Total vegetable oils ","Rest of world","Million dollars","2019","1131.5999999999999"
"181","Total vegetable oils ","Rest of world","Million dollars","2018","1311.1"
"182","Total vegetable oils ","Rest of world","Million dollars","2017","1110.8"
"183","Total vegetable oils ","Rest of world","Million dollars","2016","1128.9000000000001"
"184","Total vegetable oils ","Rest of world","Million dollars","2015","1410.5"
"185","Total vegetable oils ","Rest of world","Million dollars","2014","1330.2"
"186","Total vegetable oils ","Rest of world","Million dollars","2013","1587.4"
"187","Total vegetable oils ","Rest of world","Million dollars","2012","1824.2"
"188","Total vegetable oils ","Rest of world","Million dollars","2011","2135.8000000000002"
"189","Total vegetable oils ","Rest of world","Million dollars","2010","1413.2"
"190","Total vegetable oils ","Rest of world","Million dollars","2009","1169.3"
"191","Total vegetable oils ","Rest of world","Million dollars","2008","1634.7"
"192","Total vegetable oils ","Rest of world","Million dollars","2007","1005.1"
"193","Total vegetable oils ","Rest of world","Million dollars","2006","746.3"
"194","Total vegetable oils ","Rest of world","Million dollars","2005","573.9"
"195","Total vegetable oils ","Rest of world","Million dollars","2004","613.4"
"196","Total vegetable oils ","Rest of world","Million dollars","2003","331.1"
"197","Total vegetable oils ","Rest of world","Million dollars","2002","258.39999999999998"
"198","Total vegetable oils ","Rest of world","Million dollars","2001","200.7"
"199","Total vegetable oils ","Rest of world","Million dollars","2000","212.4"
"200","Total vegetable oils ","Rest of world","Million dollars","1999","250.9"
"201","Total vegetable oils ","World","Million dollars","2023","11378.8"
"202","Total vegetable oils ","World","Million dollars","2022","11446.1"
"203","Total vegetable oils ","World","Million dollars","2021","8485.9"
"204","Total vegetable oils ","World","Million dollars","2020","5679.8"
"205","Total vegetable oils ","World","Million dollars","2019","5370.9"
"206","Total vegetable oils ","World","Million dollars","2018","6009.6"
"207","Total vegetable oils ","World","Million dollars","2017","6199.9"
"208","Total vegetable oils ","World","Million dollars","2016","5519.4"
"209","Total vegetable oils ","World","Million dollars","2015","5120.7"
"210","Total vegetable oils ","World","Million dollars","2014","5243.5"
"211","Total vegetable oils ","World","Million dollars","2013","5136.5"
"212","Total vegetable oils ","World","Million dollars","2012","5318.8"
"213","Total vegetable oils ","World","Million dollars","2011","5931.5"
"214","Total vegetable oils ","World","Million dollars","2010","3824.5"
"215","Total vegetable oils ","World","Million dollars","2009","3336.4"
"216","Total vegetable oils ","World","Million dollars","2008","4678.2"
"217","Total vegetable oils ","World","Million dollars","2007","2957.5"
"218","Total vegetable oils ","World","Million dollars","2006","2422.8000000000002"
"219","Total vegetable oils ","World","Million dollars","2005","2015.4"
"220","Total vegetable oils ","World","Million dollars","2004","1896"
"221","Total vegetable oils ","World","Million dollars","2003","1286"
"222","Total vegetable oils ","World","Million dollars","2002","1087.3"
"223","Total vegetable oils ","World","Million dollars","2001","945"
"224","Total vegetable oils ","World","Million dollars","2000","1113.2"
"225","Total vegetable oils ","World","Million dollars","1999","1114.5999999999999"
"226","Total vegetable oils ","World (quantity)","1,000 metric tons","2023","6611.3"
"227","Total vegetable oils ","World (quantity)","1,000 metric tons","2022","5766.1"
"228","Total vegetable oils ","World (quantity)","1,000 metric tons","2021","5366.6"
"229","Total vegetable oils ","World (quantity)","1,000 metric tons","2020","4889.5"
"230","Total vegetable oils ","World (quantity)","1,000 metric tons","2019","4955.8999999999996"
"231","Total vegetable oils ","World (quantity)","1,000 metric tons","2018","4867.5"
"232","Total vegetable oils ","World (quantity)","1,000 metric tons","2017","4875"
"233","Total vegetable oils ","World (quantity)","1,000 metric tons","2016","4723.3999999999996"
"234","Total vegetable oils ","World (quantity)","1,000 metric tons","2015","4332.6000000000004"
"235","Total vegetable oils ","World (quantity)","1,000 metric tons","2014","4136.3999999999996"
"236","Total vegetable oils ","World (quantity)","1,000 metric tons","2013","4028.6"
"237","Total vegetable oils ","World (quantity)","1,000 metric tons","2012","3739.1"
"238","Total vegetable oils ","World (quantity)","1,000 metric tons","2011","3925.6"
"239","Total vegetable oils ","World (quantity)","1,000 metric tons","2010","3363.6"
"240","Total vegetable oils ","World (quantity)","1,000 metric tons","2009","3192.5"
"241","Total vegetable oils ","World (quantity)","1,000 metric tons","2008","3267.9"
"242","Total vegetable oils ","World (quantity)","1,000 metric tons","2007","2691.4"
"243","Total vegetable oils ","World (quantity)","1,000 metric tons","2006","2467.9"
"244","Total vegetable oils ","World (quantity)","1,000 metric tons","2005","1984"
"245","Total vegetable oils ","World (quantity)","1,000 metric tons","2004","1917.2"
"246","Total vegetable oils ","World (quantity)","1,000 metric tons","2003","1514"
"247","Total vegetable oils ","World (quantity)","1,000 metric tons","2002","1620.1"
"248","Total vegetable oils ","World (quantity)","1,000 metric tons","2001","1585.4"
"249","Total vegetable oils ","World (quantity)","1,000 metric tons","2000","1556.1"
"250","Total vegetable oils ","World (quantity)","1,000 metric tons","1999","1363.8"
"251","Crude vegetable oils","Canada","Million dollars","2023","1309.5"
"252","Crude vegetable oils","Canada","Million dollars","2022","863.2"
"253","Crude vegetable oils","Canada","Million dollars","2021","520"
"254","Crude vegetable oils","Canada","Million dollars","2020","188.6"
"255","Crude vegetable oils","Canada","Million dollars","2019","220.9"
"256","Crude vegetable oils","Canada","Million dollars","2018","247.2"
"257","Crude vegetable oils","Canada","Million dollars","2017","387.7"
"258","Crude vegetable oils","Canada","Million dollars","2016","402.9"
"259","Crude vegetable oils","Canada","Million dollars","2015","356.8"
"260","Crude vegetable oils","Canada","Million dollars","2014","464"
"261","Crude vegetable oils","Canada","Million dollars","2013","371"
"262","Crude vegetable oils","Canada","Million dollars","2012","498.4"
"263","Crude vegetable oils","Canada","Million dollars","2011","715.4"
"264","Crude vegetable oils","Canada","Million dollars","2010","377.1"
"265","Crude vegetable oils","Canada","Million dollars","2009","369"
"266","Crude vegetable oils","Canada","Million dollars","2008","539.5"
"267","Crude vegetable oils","Canada","Million dollars","2007","230.1"
"268","Crude vegetable oils","Canada","Million dollars","2006","161.30000000000001"
"269","Crude vegetable oils","Canada","Million dollars","2005","78.400000000000006"
"270","Crude vegetable oils","Canada","Million dollars","2004","59.6"
"271","Crude vegetable oils","Canada","Million dollars","2003","50.8"
"272","Crude vegetable oils","Canada","Million dollars","2002","41"
"273","Crude vegetable oils","Canada","Million dollars","2001","3.2"
"274","Crude vegetable oils","Canada","Million dollars","2000","2.8"
"275","Crude vegetable oils","Canada","Million dollars","1999","2.9"
"276","Crude vegetable oils","Philippines","Million dollars","2023","155.1"
"277","Crude vegetable oils","Philippines","Million dollars","2022","228.4"
"278","Crude vegetable oils","Philippines","Million dollars","2021","197.1"
"279","Crude vegetable oils","Philippines","Million dollars","2020","134"
"280","Crude vegetable oils","Philippines","Million dollars","2019","125"
"281","Crude vegetable oils","Philippines","Million dollars","2018","197.2"
"282","Crude vegetable oils","Philippines","Million dollars","2017","156.19999999999999"
"283","Crude vegetable oils","Philippines","Million dollars","2016","133.30000000000001"
"284","Crude vegetable oils","Philippines","Million dollars","2015","163.4"
"285","Crude vegetable oils","Philippines","Million dollars","2014","200.2"
"286","Crude vegetable oils","Philippines","Million dollars","2013","149.19999999999999"
"287","Crude vegetable oils","Philippines","Million dollars","2012","165.4"
"288","Crude vegetable oils","Philippines","Million dollars","2011","261.3"
"289","Crude vegetable oils","Philippines","Million dollars","2010","238"
"290","Crude vegetable oils","Philippines","Million dollars","2009","143.5"
"291","Crude vegetable oils","Philippines","Million dollars","2008","267.8"
"292","Crude vegetable oils","Philippines","Million dollars","2007","184.2"
"293","Crude vegetable oils","Philippines","Million dollars","2006","122.2"
"294","Crude vegetable oils","Philippines","Million dollars","2005","108"
"295","Crude vegetable oils","Philippines","Million dollars","2004","145.80000000000001"
"296","Crude vegetable oils","Philippines","Million dollars","2003","89.7"
"297","Crude vegetable oils","Philippines","Million dollars","2002","94.3"
"298","Crude vegetable oils","Philippines","Million dollars","2001","100.4"
"299","Crude vegetable oils","Philippines","Million dollars","2000","128.69999999999999"
"300","Crude vegetable oils","Philippines","Million dollars","1999","116.9"
"301","Crude vegetable oils","Argentina","Million dollars","2023","52.3"
"302","Crude vegetable oils","Argentina","Million dollars","2022","58.4"
"303","Crude vegetable oils","Argentina","Million dollars","2021","49.9"
"304","Crude vegetable oils","Argentina","Million dollars","2020","15.2"
"305","Crude vegetable oils","Argentina","Million dollars","2019","17.5"
"306","Crude vegetable oils","Argentina","Million dollars","2018","29.7"
"307","Crude vegetable oils","Argentina","Million dollars","2017","23.4"
"308","Crude vegetable oils","Argentina","Million dollars","2016","32.1"
"309","Crude vegetable oils","Argentina","Million dollars","2015","57.1"
"310","Crude vegetable oils","Argentina","Million dollars","2014","21.4"
"311","Crude vegetable oils","Argentina","Million dollars","2013","29.7"
"312","Crude vegetable oils","Argentina","Million dollars","2012","73.2"
"313","Crude vegetable oils","Argentina","Million dollars","2011","64.5"
"314","Crude vegetable oils","Argentina","Million dollars","2010","30.6"
"315","Crude vegetable oils","Argentina","Million dollars","2009","26.5"
"316","Crude vegetable oils","Argentina","Million dollars","2008","51.1"
"317","Crude vegetable oils","Argentina","Million dollars","2007","39.1"
"318","Crude vegetable oils","Argentina","Million dollars","2006","31.6"
"319","Crude vegetable oils","Argentina","Million dollars","2005","30.2"
"320","Crude vegetable oils","Argentina","Million dollars","2004","35"
"321","Crude vegetable oils","Argentina","Million dollars","2003","11.9"
"322","Crude vegetable oils","Argentina","Million dollars","2002","20.2"
"323","Crude vegetable oils","Argentina","Million dollars","2001","9.9"
"324","Crude vegetable oils","Argentina","Million dollars","2000","11.1"
"325","Crude vegetable oils","Argentina","Million dollars","1999","4.5"
"326","Crude vegetable oils","Mexico","Million dollars","2023","46.7"
"327","Crude vegetable oils","Mexico","Million dollars","2022","27.2"
"328","Crude vegetable oils","Mexico","Million dollars","2021","25.6"
"329","Crude vegetable oils","Mexico","Million dollars","2020","20.3"
"330","Crude vegetable oils","Mexico","Million dollars","2019","20.3"
"331","Crude vegetable oils","Mexico","Million dollars","2018","17.600000000000001"
"332","Crude vegetable oils","Mexico","Million dollars","2017","11.7"
"333","Crude vegetable oils","Mexico","Million dollars","2016","16"
"334","Crude vegetable oils","Mexico","Million dollars","2015","26"
"335","Crude vegetable oils","Mexico","Million dollars","2014","31"
"336","Crude vegetable oils","Mexico","Million dollars","2013","21.7"
"337","Crude vegetable oils","Mexico","Million dollars","2012","18.2"
"338","Crude vegetable oils","Mexico","Million dollars","2011","12.7"
"339","Crude vegetable oils","Mexico","Million dollars","2010","23.6"
"340","Crude vegetable oils","Mexico","Million dollars","2009","20.7"
"341","Crude vegetable oils","Mexico","Million dollars","2008","34.700000000000003"
"342","Crude vegetable oils","Mexico","Million dollars","2007","29.4"
"343","Crude vegetable oils","Mexico","Million dollars","2006","20.2"
"344","Crude vegetable oils","Mexico","Million dollars","2005","21.5"
"345","Crude vegetable oils","Mexico","Million dollars","2004","11.2"
"346","Crude vegetable oils","Mexico","Million dollars","2003","10.6"
"347","Crude vegetable oils","Mexico","Million dollars","2002","8.6"
"348","Crude vegetable oils","Mexico","Million dollars","2001","10.6"
"349","Crude vegetable oils","Mexico","Million dollars","2000","8.6"
"350","Crude vegetable oils","Mexico","Million dollars","1999","15.8"
"351","Crude vegetable oils","Indonesia","Million dollars","2023","32.4"
"352","Crude vegetable oils","Indonesia","Million dollars","2022","68.7"
"353","Crude vegetable oils","Indonesia","Million dollars","2021","51.3"
"354","Crude vegetable oils","Indonesia","Million dollars","2020","33.299999999999997"
"355","Crude vegetable oils","Indonesia","Million dollars","2019","39.6"
"356","Crude vegetable oils","Indonesia","Million dollars","2018","64.8"
"357","Crude vegetable oils","Indonesia","Million dollars","2017","113.2"
"358","Crude vegetable oils","Indonesia","Million dollars","2016","127.1"
"359","Crude vegetable oils","Indonesia","Million dollars","2015","107.5"
"360","Crude vegetable oils","Indonesia","Million dollars","2014","120.3"
"361","Crude vegetable oils","Indonesia","Million dollars","2013","88.5"
"362","Crude vegetable oils","Indonesia","Million dollars","2012","93.2"
"363","Crude vegetable oils","Indonesia","Million dollars","2011","209.9"
"364","Crude vegetable oils","Indonesia","Million dollars","2010","47.8"
"365","Crude vegetable oils","Indonesia","Million dollars","2009","103.8"
"366","Crude vegetable oils","Indonesia","Million dollars","2008","141.1"
"367","Crude vegetable oils","Indonesia","Million dollars","2007","46.7"
"368","Crude vegetable oils","Indonesia","Million dollars","2006","23.5"
"369","Crude vegetable oils","Indonesia","Million dollars","2005","46.7"
"370","Crude vegetable oils","Indonesia","Million dollars","2004","17.8"
"371","Crude vegetable oils","Indonesia","Million dollars","2003","12.9"
"372","Crude vegetable oils","Indonesia","Million dollars","2002","20.3"
"373","Crude vegetable oils","Indonesia","Million dollars","2001","14.7"
"374","Crude vegetable oils","Indonesia","Million dollars","2000","53.5"
"375","Crude vegetable oils","Indonesia","Million dollars","1999","39.5"
"376","Crude vegetable oils","Spain","Million dollars","2023","29.9"
"377","Crude vegetable oils","Spain","Million dollars","2022","21"
"378","Crude vegetable oils","Spain","Million dollars","2021","1.6"
"379","Crude vegetable oils","Spain","Million dollars","2020","2.8"
"380","Crude vegetable oils","Spain","Million dollars","2019","0.5"
"381","Crude vegetable oils","Spain","Million dollars","2018","0.5"
"382","Crude vegetable oils","Spain","Million dollars","2017","1.2"
"383","Crude vegetable oils","Spain","Million dollars","2016","2.2999999999999998"
"384","Crude vegetable oils","Spain","Million dollars","2015","1.2"
"385","Crude vegetable oils","Spain","Million dollars","2014","0"
"386","Crude vegetable oils","Spain","Million dollars","2013","0"
"387","Crude vegetable oils","Spain","Million dollars","2012","0.1"
"388","Crude vegetable oils","Spain","Million dollars","2011","0.1"
"389","Crude vegetable oils","Spain","Million dollars","2010","0"
"390","Crude vegetable oils","Spain","Million dollars","2009","0.1"
"391","Crude vegetable oils","Spain","Million dollars","2008","0.1"
"392","Crude vegetable oils","Spain","Million dollars","2007","0.1"
"393","Crude vegetable oils","Spain","Million dollars","2006","0.1"
"394","Crude vegetable oils","Spain","Million dollars","2005","0.1"
"395","Crude vegetable oils","Spain","Million dollars","2004","0"
"396","Crude vegetable oils","Spain","Million dollars","2003","0.1"
"397","Crude vegetable oils","Spain","Million dollars","2002","0"
"398","Crude vegetable oils","Spain","Million dollars","2001","0"
"399","Crude vegetable oils","Spain","Million dollars","2000","0"
"400","Crude vegetable oils","Spain","Million dollars","1999","0.1"
"401","Crude vegetable oils","Rest of world","Million dollars","2023","86.9"
"402","Crude vegetable oils","Rest of world","Million dollars","2022","277.3"
"403","Crude vegetable oils","Rest of world","Million dollars","2021","126.7"
"404","Crude vegetable oils","Rest of world","Million dollars","2020","116.6"
"405","Crude vegetable oils","Rest of world","Million dollars","2019","42.1"
"406","Crude vegetable oils","Rest of world","Million dollars","2018","55.6"
"407","Crude vegetable oils","Rest of world","Million dollars","2017","53.8"
"408","Crude vegetable oils","Rest of world","Million dollars","2016","38.1"
"409","Crude vegetable oils","Rest of world","Million dollars","2015","103.6"
"410","Crude vegetable oils","Rest of world","Million dollars","2014","71.5"
"411","Crude vegetable oils","Rest of world","Million dollars","2013","83.9"
"412","Crude vegetable oils","Rest of world","Million dollars","2012","44.6"
"413","Crude vegetable oils","Rest of world","Million dollars","2011","43.3"
"414","Crude vegetable oils","Rest of world","Million dollars","2010","40.9"
"415","Crude vegetable oils","Rest of world","Million dollars","2009","27.8"
"416","Crude vegetable oils","Rest of world","Million dollars","2008","58.9"
"417","Crude vegetable oils","Rest of world","Million dollars","2007","41.7"
"418","Crude vegetable oils","Rest of world","Million dollars","2006","50.4"
"419","Crude vegetable oils","Rest of world","Million dollars","2005","28.3"
"420","Crude vegetable oils","Rest of world","Million dollars","2004","138.6"
"421","Crude vegetable oils","Rest of world","Million dollars","2003","23.6"
"422","Crude vegetable oils","Rest of world","Million dollars","2002","22.8"
"423","Crude vegetable oils","Rest of world","Million dollars","2001","12"
"424","Crude vegetable oils","Rest of world","Million dollars","2000","5.3"
"425","Crude vegetable oils","Rest of world","Million dollars","1999","6.7"
"426","Crude vegetable oils","World","Million dollars","2023","1712.8"
"427","Crude vegetable oils","World","Million dollars","2022","1544.2"
"428","Crude vegetable oils","World","Million dollars","2021","972.2"
"429","Crude vegetable oils","World","Million dollars","2020","510.8"
"430","Crude vegetable oils","World","Million dollars","2019","465.9"
